"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"BUILT_BY";"CENTERLINE_PITCH";"COMMENT";"COPYRIGHT";"DATASHEET";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"EU_ROHS_COMPLIANCE";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"MF";"MP";"MPN";"NUMBER_OF_POSITIONS";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PRODUCT_TYPE";"PROD_ID";"SOURCELIBRARY";"SPICEPREFIX";"TE_PURCHASE_URL";"TP_SIGNAL_NAME";"VALUE";"VENDOR";
"BTN2";"PTS636SM25F";"PTS636SM25F";"SW2_PTS636_SM25F_SMTR_LFS_CNK";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BTN3";"PTS636SM25F";"PTS636SM25F";"SW2_PTS636_SM25F_SMTR_LFS_CNK";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C1";"100uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";"";"";"";"";
"C2";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";"";"";"";"";
"C3";"330uF";"C-USC1210";"C1210";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";"";"C";"";"";"";"";
"C4";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";"";"";"";"";
"C5";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";"";"";"";"";
"C6";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";"";"";"";"";
"C7";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";"";"";"";"";
"C8";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";"";"";"";"";
"C9";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";"";"";"";"";
"C10";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";"";"";"";"";
"C11";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";"";"";"";"";
"C12";"27pF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"";"C";"";"";"";"";
"C13";"27pF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"";"C";"";"";"";"";
"C14";"27pF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"";"C";"";"";"";"";
"C15";"27pF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"";"C";"";"";"";"";
"C16";"33pF";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"C";"";"";"";"";
"C17";"3uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";"";"";"";"";
"CR1";"9C-6.000MAAJ-T";"9C-6.000MAAJ-T";"CRYSTAL_TXC_9C_TXC";"";"";"EMA_UL_Team";"";"";"";"";"";"";"";"";"";"9C-6.000MAAJ-T";"";"";"";"";"";"";"";"";"";"";"";"TXC_2011-01-01_CRYSTAL_9C";"";"";"";"";"TXC";
"CR2";"ESDA6V1-5SC6SOT23-6L_STM-M";"ESDA6V1-5SC6SOT23-6L_STM-M";"SOT23-6L_STM-M";"";"";"EMA_UL_Team";"";"";"";"";"";"";"";"";"";"ESDA6V1-5SC6";"";"";"";"";"";"";"";"";"";"";"";"Update_database_2020-10-15";"";"";"";"";"STMicroelectronics";
"D1";"RED";"LED-RED1206";"LED-1206";"Red SMD LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-09912";"";"";"";"";"RED";"";
"D2";"GREEN";"LED-GREEN1206";"LED-1206";"Green SMD LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-00862";"";"";"";"";"GREEN";"";
"D3";"BLUE";"LED-BLUE1206";"LED-1206";"Blue SMD LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-09911";"";"";"";"";"BLUE";"";
"D4";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-09003";"";"";"";"";"Yellow";"";
"D5";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-09003";"";"";"";"";"Yellow";"";
"GROVE1";"640456-4";"640456-4";"TE_640456-4";"220P MTA100 HDR ASSY SQ SPCL";"";"";"2.54 mm[.1 in]";"640456-4";"";"";" Header, Friction Lock";" MTA-100";" 4";" 250 VAC";" Polyester";" Tin";" Copper Alloy";" Tin ";"A1922-ND";"https://www.digikey.com/product-detail/en/te-connectivity-amp-connectors/640456-4/A1922-ND/109006?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol";"Compliant";"";"";"TE Connectivity";"640456-4";"";"4";"";"";"None";"";"";"Connector";
"GROVE2";"640456-4";"640456-4";"TE_640456-4";"220P MTA100 HDR ASSY SQ SPCL";"";"";"2.54 mm[.1 in]";"640456-4";"";"";" Header, Friction Lock";" MTA-100";" 4";" 250 VAC";" Polyester";" Tin";" Copper Alloy";" Tin ";"A1922-ND";"https://www.digikey.com/product-detail/en/te-connectivity-amp-connectors/640456-4/A1922-ND/109006?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol";"Compliant";"";"";"TE Connectivity";"640456-4";"";"4";"";"";"None";"";"";"Connector";
"J1";"AU-Y1008-2";"AU-Y1008-2";"CONN_AU-Y1008-2_ASM";"";"";"EMA_Cory";"";"";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"http://www.assmann-wsw.com/fileadmin/datasheets/ASS_5780_CO.pdf";"";"";"";"";"";"AU-Y1008-2";"";"";"";"";"";"";"";"";"";"";"";"Assmann_2020-03-30";"";"";"";"";"Assmann";
"J2";"U.FL-R-SMT-1(01)";"U.FL-R-SMT-1(01)";"CONN_-SMT-1(01)";"";"";"EMA_Matt";"";"";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"";"";"";"";"";"";"U.FL-R-SMT-1(01)";"";"";"";"";"";"";"";"";"";"";"";"Hirose_12_20_2019";"";"";"";"";"Hirose";
"J3";"U.FL-R-SMT-1(01)";"U.FL-R-SMT-1(01)";"CONN_-SMT-1(01)";"";"";"EMA_Matt";"";"";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"";"";"";"";"";"";"U.FL-R-SMT-1(01)";"";"";"";"";"";"";"";"";"";"";"";"Hirose_12_20_2019";"";"";"";"";"Hirose";
"JP1";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";"";"";"";"";
"JP2";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";"";"";"";"";
"JP3";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";"";"";"";"";
"JP4";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";"";"";"";"";
"JP5";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";"";"";"";"";
"JP6";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";"";"";"";"";
"JP7";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";"";"";"";"";
"JP8";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";"";"";"";"";
"JP9";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";"";"";"";"";
"JP10";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";"";"";"";"";
"L1";"47nH";"C-EUC1608";"C1608";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"C";"";"";"";"";
"POWER_SUPPLY";"MIC29302WU";"MIC29302WU";"TO263-5";"";"Unavailable";"";"";"";"";"";" Linear Voltage Regulator IC 1 Output 3A TO-263-5  ";"";"";"";"";"";"Microchip Technology";"MIC29302WU";"";"";"";"";"TO-263-6 Microchip Technology";"";"None";"";"";"";"";"";"";"";"";
"R1";"60.4";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R2";"180";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R3";"180";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R4";"47k";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R5";"100k";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R6";"470k";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R7";"27";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R8";"27";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R9";"1.5k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07856";"";"";"";"";"1k";"";
"R10";"4700";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R11";"47k";"47KOHM-0603-1/10W-1%";"0603";"47kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07871";"";"";"";"";"47k";"";
"R13";"15k";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R14";"4700";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R15";"15k";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R16";"4700";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R17";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07857";"";"";"";"";"4.7k";"";
"R18";"47k";"47KOHM-0603-1/10W-1%";"0603";"47kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07871";"";"";"";"";"47k";"";
"R19";"27";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R20";"27";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R21";"27";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R22";"27";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R23";"15k";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R24";"15k";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R25";"1.5k";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R26";"0";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07856";"";"";"";"";"1k";"";
"R27";"0";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07856";"";"";"";"";"1k";"";
"R28";"330";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07856";"";"";"";"";"1k";"";
"R29";"4700";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R30";"4700";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R31";"4700";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R32";"4700";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R33";"330";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07856";"";"";"";"";"1k";"";
"R34";"15k";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R35";"15k";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R36";"15k";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R37";"15k";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R38";"45k";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R39";"10";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"RESET";"PTS636SM25F";"PTS636SM25F";"SW2_PTS636_SM25F_SMTR_LFS_CNK";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SIMCARD";"78646-3001";"78646-3001";"MOLEX_78646-3001";"Conn Micro SIM Card SKT 6 POS 2.54mm Solder RA SMD 0.5A/Contact Embossed T/R";"Unavailable";"";"";"";"";"";" 6 Position Card Connector Micro SIM Surface Mount, Right Angle Gold ";"";"";"";"";"";"Molex";"78646-3001";"";"";"";"";"None";"";"None";"";"";"";"";"";"";"";"";
"SV1";"";"MA18-2";"MA18-2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"0";"";"";"";"";"";"";"";"";"";
"SV2";"";"MA18-2";"MA18-2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"0";"";"";"";"";"";"";"";"";"";
"T1";"BCX70SMD";"BCX70SMD";"SOT23";"NPN TRANSISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";
"T2";"BCX70SMD";"BCX70SMD";"SOT23";"NPN TRANSISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";
"TP1";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";"";
"TP2";"TPTP16R";"TPTP16R";"TP16R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";
"TP3";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";"";
"TP4";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";"";
"TP5";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";"";
"TP6";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";"";
"TP7";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";"";
"TP8";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";"";
"TP21";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";"";
"TP22";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";"";
"TP26";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";"";
"TP27";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";"";
"TP28";"TPTP10R";"TPTP10R";"TP10R";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";"";
"U1";"SIM7000E";"SIM7000E";"SIMCON_SIM7000E";"Multi-Band LTE-FDD and Dual-Band GSM/GPRS/EDGE module solution in a SMT type which supports LTE eMTC(CAT-M1) and NB-IoT up to 375kbps for downlink data transfer.";"Unavailable";"";"";"";"";"";" SIM7000E GSM/GPRS RF Arduino Platform Evaluation Expansion Board ";"";"";"";"";"";"DFRobot";"SIM7000E";"";"";"";"";"Package Analog Devices";"";"None";"";"";"";"";"";"";"";"";
"U2";"TUSB2046BVFR";"TUSB2046BVFR";"VF32_TEX";"";"";"EMA_UL_Team";"";"";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"";"";"";"";"";"Texas Instruments";"TUSB2046BVFR";"";"";"";"";"";"";"";"";"";"";"";"Texas_Instruments_2018-12-15";"";"";"";"";"Texas Instruments";
"U3";"MAX3373EEKA+T";"MAX3373EEKA+T";"21-0078H";"";"";"EMA_UL_Team";"";"";"";"";"";"";"";"";"";"max3373eeka+t";"";"";"";"";"";"";"";"";"";"";"";"Maxim_2009-12-17_3a";"";"";"";"";"Maxim Integrated Products";
"U4";"TPS2044BDR";"TPS2044BDR";"D16_TEX";"";"";"EMA_UL_Team";"";"";"";"";"";"";"";"";"Texas Instruments";"TPS2044BDR";"";"";"";"";"";"";"";"";"";"";"";"TI_2014-06-19";"";"";"";"";"Texas Instruments";
"X1";"332-04";"332-04";"332-04";"4 Pin - 2mm Dual Row";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";
